author,iso,volume,page,year,doi
A. Tsantiri,Phys. Rev. Lett.,135,212701,2025,10.1103/d7dr-h36j
C. Marshall,Phys. Rev. C,112,45801,2025,10.1103/1tx5-lcgh
M. Pignatari,Astrophys. J,990,19,2025,10.3847/1538-4357/adef4c
A. Psaltis,Astrophys. J,987,88,2025,10.3847/1538-4357/addfd5
L. Ward,Astrophys. J,986,109,2025,10.3847/1538-4357/add47a
J. Owens-Fryar,Phys. Rev. C,111,65801,2025,10.1103/PhysRevC.111.065801
C. Fougères,Astrophys. J,983,142,2025,10.3847/1538-4357/adc253
S.F. Dellmann,Phys. Rev. Lett.,134,142701,2025,10.1103/PhysRevLett.134.142701
M. Williams,Phys. Rev. Lett.,134,112701,2025,10.1103/PhysRevLett.134.112701
L. Varga,Phys. Rev. Lett.,134,82701,2025,10.1103/PhysRevLett.134.082701
D. Walter,Phys. Lett. B ,862,139352,2025,10.1016/j.physletb.2025.139352
D.  García-Senz,Astron. Astrophys.,688,A218,2024,10.1051/0004-6361/202449863
J.J. Marsh,Eur. Phys. J. A ,60,95,2024,10.1140/epja/s10050-024-01318-2
A. Psaltis,Astrophys. J,966,11,2024,10.3847/1538-4357/ad2dfb
H. Jayatissa,Phys. Rev. Lett.,131,112701,2023,10.1103/PhysRevLett.131.112701
J. Kovoor,Phys. Rev. C,108,34601,2023,10.1103/PhysRevC.108.034601
R. Loberti,Astron. Astrophys.,677,A22,2023,10.1051/0004-6361/202346556
M. Williams,Phys. Rev. C,107,35803,2023,10.1103/PhysRevC.107.035803
H. Schatz,J. Phys. G: Nucl. Part. Phys.,49,110502,2022,10.1088/1361-6471/ac8890
N. Vukman,Front. Phys.,10,1009421,2022,10.3389/fphy.2022.1009421
A. Psaltis,Phys. Rev. C,106,45805,2022,10.1103/PhysRevC.106.045805
A. Psaltis,Phys. Rev. Lett.,129,162701,2022,10.1103/PhysRevLett.129.162701
L. Lombardo,Astron. Astrophys.,665,A10,2022,10.1051/0004-6361/202243932
A. Psaltis,Astrophys. J,935,27,2022,10.3847/1538-4357/ac7da7 
T. Budner,Phys. Rev. Lett.,128,182701,2022,10.1103/PhysRevLett.128.182701
J. Hooker,Nucl. Instrum. Methods Phys. Res. B,512,6,2022,10.1016/j.nimb.2021.11.014
J.S. Randhawa,Phys. Rev. C,104,L042801,2021,10.1103/PhysRevC.104.L042801
M. Witt,Astrophys. J,921,19,2021,10.3847/1538-4357/ac1a6d
