date,school,grade
04/2021,"Lloyd Barbee Montessori School, WI, USA",2
02/2021,"Sawyer Road Elementary School, GA, USA",2
03/2020,"John Knox Christian School, ON, Canada",6
02/2020,"McAlpine Elementary School NC, USA",3
01/2020,"Robious Middle School, VA, USA",6-7
11/2019,"William J. Johnston Middle School CT, USA",8
04/2019,"Baldwinsville Central School District, NY, USA",9
03/2019,"Paxon Hollow Middle School, PA, USA",6
03/2019,"Madison Middle School, OH, USA",5
03/2019,"Don Jeter Elementary, TX, USA",4
